County,2004,2005,2006,2007,2008,2009
Albany,0,0,2,3,0,0
Blair,0,0,0,0,0,3
Bucks,0,0,0,0,0,1
Carbon,0,0,0,0,0,2
Centre,0,0,0,0,2,0
Clinton,0,0,0,0,0,1
Columbia,0,0,0,1,0,0
Erie,0,0,0,0,0,1
Essex,0,0,0,2,1,1
Fayette,0,0,0,0,0,2
Franklin,0,0,0,0,1,0
Hamilton,0,0,0,0,1,0
Huntingdon,0,0,0,0,0,1
Jefferson,0,0,0,1,0,0
Lackawanna,0,0,0,0,2,0
Livingston,0,0,0,0,0,1
Luzerne,0,0,0,0,1,2
Lycoming,0,0,0,0,0,3
Mifflin,0,0,0,0,5,1
Monroe,0,0,0,0,0,1
Montgomery,0,0,0,1,0,0
Northumberland,0,0,0,0,0,1
Onondaga,0,0,0,0,1,0
Orange,0,0,0,0,0,2
Putnam,0,0,0,0,4,0
Schoharie,0,4,2,7,0,1
Sullivan,0,0,0,1,0,2
Tioga,0,0,0,0,0,1
Ulster,0,0,0,10,2,0
Warren,0,0,0,1,1,0
Washington,0,0,0,0,1,0
